name,type,start_time,duration,"value"
"USB LS and FS","v1frame",0.492854083,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.492855,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.492855417,0.00000025,"EOP"
"USB LS and FS","v1frame",0.492856042,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.492856708,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.492857375,0.00000025,"EOP"
"USB LS and FS","v1frame",0.492858125,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.492858792,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.492859458,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.492860375,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.492860792,0.00000025,"EOP"
"USB LS and FS","v1frame",0.492861458,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.492862125,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.492862792,0.00000025,"EOP"
"USB LS and FS","v1frame",0.493727667,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.493728333,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.493729,0.000001,"Frame # 0x7EE"
"USB LS and FS","v1frame",0.49373,0.000000417,"CRC OK 0x0B"
"USB LS and FS","v1frame",0.493730417,0.00000025,"EOP"
"USB LS and FS","v1frame",0.493853,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.493853667,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.493854333,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.49385525,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.493855667,0.00000025,"EOP"
"USB LS and FS","v1frame",0.493856375,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.493857042,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.493857708,0.00000025,"EOP"
"USB LS and FS","v1frame",0.493858458,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.493859125,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.493859792,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.493860708,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.493861125,0.00000025,"EOP"
"USB LS and FS","v1frame",0.493861792,0.000000625,"SYNC"
"USB LS and FS","v1frame",0.493862417,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.493863083,0.00000025,"EOP"
"USB LS and FS","v1frame",0.493863917,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.493864583,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.49386525,0.000000917,"Address=0x03 Endpoint=0x01"
"USB LS and FS","v1frame",0.493866167,0.000000417,"CRC OK 0x1C"
"USB LS and FS","v1frame",0.493866583,0.00000025,"EOP"
"USB LS and FS","v1frame",0.494727875,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.494728542,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.494729208,0.000001,"Frame # 0x7EF"
"USB LS and FS","v1frame",0.494730208,0.000000417,"CRC OK 0x14"
"USB LS and FS","v1frame",0.494730625,0.00000025,"EOP"
"USB LS and FS","v1frame",0.49485325,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.494853917,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.494854583,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.4948555,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.494855917,0.00000025,"EOP"
"USB LS and FS","v1frame",0.494856542,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.494857208,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.494857875,0.00000025,"EOP"
"USB LS and FS","v1frame",0.494858708,0.000000667,"SYNC"
